date,regime_label,prob_high_tpu,prob_nonhigh,p01_entry,p10_exit,tpu_level,log_tpu_z,log_vix_z,vix
2021-01-07,Non-High-TPU,0.008320406152655559,0.9916795938473444,0.0033154392807686318,0.0043539299198041646,811.13,0.6389220708162748,0.9200068768482296,25.07
2021-01-08,Non-High-TPU,0.00947975099758072,0.9905202490024193,0.0015794078878595633,0.003416318290308264,555.16,0.21302217027108855,0.5455950084329145,22.37
2021-01-11,Non-High-TPU,0.010403302813782073,0.9895966971862179,0.0012421207885271184,0.003158275009588188,573.54,0.24960747495648153,0.4244141623841728,21.56
2021-01-12,Non-High-TPU,0.011460236266045249,0.9885397637339548,0.002551167660744013,0.003996255521173745,661.96,0.410654296400606,0.7876241394175336,24.08
2021-01-13,Non-High-TPU,0.01317549116880747,0.9868245088311925,0.002076400052218384,0.003736005160769007,523.44,0.14693771529772978,0.6836588226742948,23.33
2021-01-14,Non-High-TPU,0.016212369273466344,0.9837876307265336,0.0015072709829953357,0.003364499941474544,361.84,-0.26778407978582985,0.5220096367768555,22.21
2021-01-15,Non-High-TPU,0.04389219181059128,0.9561078081894087,0.002030487965102735,0.0037087891092737056,634.67,0.36336608252135405,0.6723725153793021,23.25
2021-01-19,Non-High-TPU,0.079008177689074,0.9209918223109259,0.0027357823477739012,0.004088629928325381,613.99,0.3261571381613943,0.8229110533289731,24.34
2021-01-20,Non-High-TPU,0.12998753714947264,0.8700124628505274,0.002024809702915425,0.003705394468276348,344.59,-0.3226506240830038,0.6709589971898975,23.24
2021-01-21,High-TPU,0.734347578547824,0.26565242145217605,0.001249646518820912,0.003164517912767235,877.01,0.7266356936960588,0.4274607300392455,21.58
2021-01-22,High-TPU,0.8400559136769699,0.1599440863230301,0.0011547576870424956,0.003083867014497202,1105.95,0.9871609993412566,0.38763329718206313,21.32
2021-01-25,High-TPU,0.853341853482165,0.14665814651783507,0.001379501176105903,0.003268464793922756,1151.17,1.0321737264898423,0.47732549869154123,21.91
2021-01-26,High-TPU,0.8549852536414939,0.14501474635850609,0.001996619080366777,0.0036884458102938327,902.51,0.7588292042764172,0.6638822703952915,23.19
2021-01-27,High-TPU,0.8544415218768557,0.14555847812314432,0.0019032362792765728,0.0036311263004989223,1658.32,1.4421845990390207,0.639706748792678,23.02
2021-01-28,High-TPU,0.8290703469685194,0.17092965303148064,0.04188845205958297,0.01006478499058286,654.29,0.3975635865479139,2.217557381123704,37.21
2021-01-29,High-TPU,0.7420389460318565,0.25796105396814356,0.011103436712812357,0.006471509988320784,534.02,0.16941467219437645,1.5327977719172565,30.21
2021-02-01,High-TPU,0.7134823191240607,0.2865176808759392,0.019930325895978238,0.007850414779494193,640.43,0.37351413006989687,1.8319895508428838,33.09
2021-02-02,High-TPU,0.6749843778994575,0.3250156221005425,0.011174750350405417,0.006485158917372381,715.94,0.4987062110091143,1.5360590356893093,30.24
2021-02-03,High-TPU,0.6197241100347091,0.38027588996529094,0.003759943865489145,0.004536930537095996,1482.17,1.3160475696348588,0.9836076878382638,25.56
2021-02-04,Non-High-TPU,0.003668985301500526,0.9963310146984994,0.001844799662177062,0.003594289036624084,236.54,-0.7452549490960647,0.6239684418519262,22.91
2021-02-05,Non-High-TPU,1.0088069251580216e-06,0.9999989911930748,0.0013230841668051803,0.0032241497998787144,134.45,-1.3797994098894744,0.45626309976906965,21.77
2021-02-08,Non-High-TPU,3.2128886153813165e-06,0.9999967871113846,0.0010049024388021778,0.00294687130694779,463.7,0.010818696964553292,0.3175393690100833,20.87
2021-02-09,Non-High-TPU,6.8932442561181475e-06,0.9999931067557439,0.0011268168031215507,0.003059272177388284,612.74,0.3238680502135216,0.37528094060167594,21.24
2021-02-10,Non-High-TPU,5.395285454436866e-06,0.9999946047145455,0.0012686296525837306,0.003180153612729982,572.47,0.24750999993160983,0.4350648134622763,21.63
2021-02-11,Non-High-TPU,3.151445761354278e-08,0.9999999684855424,0.0014126425599084403,0.0032939308613197473,195.94,-0.956770355919009,0.4893008121047379,21.99
2021-02-12,Non-High-TPU,1.760750595096852e-06,0.9999982392494049,0.0011302778407873868,0.003062340851935135,387.64,-0.19042120594077266,0.3768275271120361,21.25
