date,regime_label,regime_label_raw,prob_high_tpu,prob_high_tpu_smooth,prob_mid_tpu_smooth,prob_low_tpu_smooth,log_tpu,delta_log_tpu,vix,tpu
2024-04-26,Low-TPU,Low-TPU,2.3546665185633107e-11,7.445742923480746e-08,0.09409549740242648,0.9059044281401926,5.044005593571361,-0.9078861784167973,15.37,155.09
2024-04-29,Low-TPU,Low-TPU,7.13673380980956e-13,1.0328212347736635e-09,0.03874615322991033,0.9612538457373215,4.516448255927287,-0.5275573376440743,15.03,91.51
2024-04-30,Low-TPU,Low-TPU,5.6942721208367546e-11,1.117141216526814e-09,0.023728536121717988,0.9762714627611937,5.2533200006173,0.7368717446900135,14.67,191.2
2024-05-01,Low-TPU,Low-TPU,2.998969862530426e-09,7.880320769046157e-09,0.017957220019859114,0.9820427720998566,6.0744030578935435,0.8210830572762431,15.65,434.59
2024-05-02,Low-TPU,Low-TPU,9.608999843910127e-11,7.85229149210989e-09,0.014026951063220055,0.9859730410845037,5.301312875527835,-0.7730901823657081,15.39,200.6
2024-05-03,Low-TPU,Low-TPU,2.25116645529493e-12,7.2332803484028004e-09,0.01088162523972696,0.9891183675269903,4.643525139864555,-0.6577877356632804,14.68,103.91
2024-05-06,Low-TPU,Low-TPU,1.0565811826141306e-09,7.234556473253507e-09,0.012016675006235765,0.9879833177591889,5.6096915512566055,0.9661664113920505,13.49,273.06
2024-05-07,Low-TPU,Low-TPU,6.803402444712077e-08,7.566799484996674e-09,0.01922537144917902,0.9807746209839694,6.709340924954924,1.0996493736983188,13.49,820.03
2024-05-08,Low-TPU,Low-TPU,6.354406020347025e-11,9.594789754034659e-09,0.030999575634799846,0.9690004147703624,5.035718074463719,-1.6736228504912054,13.23,153.81
2024-05-09,Low-TPU,Low-TPU,1.3970688984109624e-13,1.2836180981897706e-08,0.04554646391473521,0.9544535232490465,4.180828022110238,-0.8548900523534808,13.0,65.42
2024-05-10,Low-TPU,Low-TPU,3.6307913692679015e-11,3.9723391403605713e-08,0.06246993758232851,0.9375300226942738,5.041617031704984,0.8607890095947459,12.69,154.72
