Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2018-10-11,136539000,54550500,57205800,178628200,46581800,71184200,36573600,9558500,85789600,44523200,8840700.0
2018-10-12,71818800,29409800,30356400,137933000,20797300,47158000,21301000,5288200,43738200,26263000,5877600.0
2018-10-15,38305000,15201200,15614600,82196400,13909700,23180800,10256000,3894500,36706000,15892000,1576900.0
2018-10-16,41998600,12547300,14863200,75137300,13505900,29142200,11053000,3272200,35875000,15468600,3707300.0
2018-10-17,48329800,15610600,20077400,79472100,14232300,31608400,17070000,3449400,28517000,15837800,4571000.0
2018-10-18,45920600,19139300,24972600,81706000,14455600,33173400,15387800,3345200,33038000,19370300,21297200.0
2018-10-19,44283400,17152400,17171800,73614300,11318600,27136200,14211800,2999900,59579200,28312300,3544400.0
2018-10-22,31962000,13675500,13837600,58645800,8288300,24589000,26653000,4269600,24500000,16645700,2711700.0
2018-10-23,48132200,25139900,21024000,93698200,15424500,52955400,40403800,5159700,37849200,30466600,2779600.0
2018-10-24,68330800,22170900,23591000,98050700,17431900,56200400,41268000,5443600,58326800,36761900,3552300.0
2018-10-25,46754400,23871500,20865600,72439400,15725100,50666600,28511600,5413800,59822400,30018200,3391700.0
2018-10-26,85487200,34330800,36563600,115308900,25507900,51159800,47958600,8951600,73786000,39310600,5229100.0
2018-10-29,68110600,23645600,28612600,97946100,14024300,48919600,34825400,6143200,49946400,31687500,3491000.0
2018-10-30,61121600,23445800,28886600,82719100,15432000,52794800,46345200,7427400,50131000,33148100,6283600.0
2018-10-31,42288200,14205500,18208600,93781100,13460700,34575600,26335400,4202400,50286000,30135100,3577200.0
2018-11-01,31106200,22653800,13811600,62346600,9668500,42951600,27448600,4848800,54054800,22589800,2550000.0
2018-11-02,40426200,23216400,15825200,73034200,12953000,42425000,26879600,6876800,48273200,28704100,2628600.0
2018-11-05,28416400,17524400,9395600,58705800,7783500,26463200,15713600,4093100,42506600,19972200,2439500.0
2018-11-06,18267600,15588600,9558800,51010900,7980500,26144200,13145200,2958800,26136200,15626500,2040300.0
2018-11-07,32629600,14217700,12817600,59990800,13310600,33325800,13562200,3917900,41450800,15067100,2705800.0
2018-11-08,20819400,11967400,8754000,46730100,7345600,30289800,12894800,2665000,41168200,12890200,1295700.0
2018-11-09,25883600,23409100,10515800,47051200,8486500,45835600,18024800,3558700,40030200,18510900,2234500.0
2018-11-12,32862200,10822300,12046800,47135500,8423200,36083200,20119600,2861900,55327800,15950700,1203700.0
2018-11-13,31407000,16032200,15826000,69820600,14227000,65463800,19012400,6307600,47516000,23146500,2186100.0
2018-11-14,38993400,18374100,16583000,104274200,11664000,45084200,19452600,4369000,55155600,17577600,2137500.0
2018-11-15,52602200,24411600,21697000,93998000,15563900,40613600,24067800,7158900,68562400,25604700,3864100.0
2018-11-16,35945800,15156000,11461800,80518300,11323200,39511000,17462000,3738100,42812800,15212800,2092100.0
2018-11-19,38397200,14365300,13359400,65491300,8821000,31167600,24568400,4668200,29144000,16727200,2358000.0
2018-11-20,56129600,18024900,23986000,103778300,11604300,52648800,22518600,6593700,48856800,33023200,5028200.0
2018-11-21,33006600,10846000,17474600,48618000,9345100,34661800,14026800,3707500,37819400,16604400,3187400.0
2018-11-23,10676200,6205500,5456000,24252300,3939500,28843600,6302200,2543000,16235800,8700800,667100.0
2018-11-26,25069200,12896300,11708000,50168800,7141200,33365400,10714600,3242200,32202000,13125400,2563700.0
2018-11-27,23076400,14430900,12052400,47174300,9262000,44528600,11742200,3227200,26366800,15954400,2114400.0
2018-11-28,33219200,14139400,12683000,61375300,11870400,42296400,17062000,3645700,24124400,21973700,2707400.0
2018-11-29,28230800,12997900,9949800,43664100,8796000,28828400,14276400,2600700,34979200,13285000,2247700.0
2018-11-30,33019600,16428000,11343000,45435200,15875900,36258000,12116400,4327200,36333600,16551900,5563500.0
2018-12-03,32463400,19554600,11989000,65332700,12158200,43990800,17150200,5321300,35813000,20855900,5790400.0
2018-12-04,41982200,20580300,19417400,110918600,15011300,36592600,18091600,6476800,44536000,27634900,3268000.0
2018-12-06,43155800,28325800,22323800,134687100,18492900,70712200,26450600,6368500,49395800,32514000,3560400.0
2018-12-07,39875000,19238300,18691400,86740000,14930800,54891400,28052600,5559900,39458800,23139500,2625800.0
2018-12-10,40895600,25360000,19796400,101121800,15372000,46765600,23329800,9157900,42296200,44469000,3379500.0
2018-12-11,31626200,18475700,15930000,92308200,13632300,34483200,20142200,4645200,52186800,25677400,4425900.0
2018-12-12,33857600,14776400,14373400,86748900,12581000,38534800,14902000,4298900,36594800,18735200,3352600.0
2018-12-13,25638600,15917800,12216600,67232900,11567100,30598000,29257200,4652700,36144000,16987800,1984100.0
2018-12-14,31032400,14806200,12277200,66817000,19422700,45787200,15958800,4138700,50311200,20262700,1910800.0
2018-12-17,46527000,19796800,23857400,101180400,22089500,41464600,30503200,7214000,60421600,27324100,3275000.0
2018-12-18,39253200,15665200,17377800,90844000,24712500,53234000,23365800,8109100,47270800,27349700,3597400.0
2018-12-19,67212200,23552900,28061600,129331700,23075600,91097800,39400800,12878000,55856800,46289600,5714100.0
2018-12-20,79003600,25709900,35375200,107016900,25321600,77008800,46346200,11333000,78047600,43415000,9067000.0
2018-12-21,83227400,28744200,26736200,118502300,28909200,74787400,41112200,15120000,71291600,38484500,7987400.0
2018-12-24,42234000,15800200,16878000,71752700,14235500,31211800,22656400,10641000,45330600,23086800,3888500.0
2018-12-26,58120200,17549000,23489800,108133500,20575100,58194000,34232200,10947900,61678200,26670600,4104000.0
2018-12-27,46877600,13980700,21520000,98005000,14045700,48754600,29847200,14151800,59461200,35926900,3768600.0
2018-12-28,39685800,15917200,16656400,76348400,15770600,38874800,18906000,10391000,42175200,24436600,2631900.0
2018-12-31,33720200,10068900,12430600,56435400,10163100,37410400,15596000,7807200,32604400,14959600,5303600.0
2019-01-02,30885800,14687500,13681600,62945000,14179900,49785200,18192600,10445000,50347800,20459000,4625800.0
2019-01-03,49893400,25976200,12692000,65729700,17668000,36048200,19668000,9743800,43175000,22074800,3433700.0
2019-01-04,41535600,19883600,14538200,64638400,16262600,42703000,17901200,9620900,38007000,19003300,2647900.0
2019-01-07,23817200,15193100,12526200,48167000,12387200,36113400,14936600,5141800,32535400,15143300,4048400.0
2019-01-08,26005200,23069500,18782000,90114700,13371000,37384600,20657200,7575900,33287000,28273800,2144800.0
2019-01-09,28044800,10036600,10325200,61037100,11259700,37513600,16250400,5100800,36149400,15684500,1840800.0
